id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28535209,Manoir 50,172820821,Bassim,,Val-Bélair,46.84396,-71.40002,Private room,132,2,0,,,1,0,0,
28542893,Studio mignon en plein coeur du Vieux Québec,31286756,Eve-Lyne,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81299,-71.21142,Entire home/apt,55,2,30,2020-01-13,1.20,1,0,0,
28627870,Standard Room - 2 Double Beds,24747916,Alex,,Quartier 5-4,46.85759,-71.1768,Private room,99,1,4,2020-08-09,0.13,3,365,0,
28696890,Le Flamboyant - Penthouse with indoor parking,86509992,Marie-Lee,,Saint-Sauveur,46.81152,-71.2318,Entire home/apt,135,1,129,2021-10-26,3.56,2,127,42,
28718153,The Big Top / New condo - In town - Indoor parking,52241900,Philippe,,Saint-Sauveur,46.81204,-71.23128,Entire home/apt,83,1,188,2021-08-26,5.07,1,226,56,297286
28758296,Rez de jardin 4 et demi,70222164,Elodie,,Montcalm,46.80414,-71.22517,Entire home/apt,180,30,59,2021-10-01,1.78,3,174,2,
28783500,400. Loft rénové in Québec City 295044,28100447,Maude,,Saint-Roch,46.81383,-71.22535,Entire home/apt,75,2,129,2021-10-03,3.53,2,129,30,
28800848,Cute apartment in Old Quebec | Queen size bed 3p,217218887,Vincent,,Saint-Jean-Baptiste,46.81132,-71.21816,Entire home/apt,59,30,7,2020-03-05,0.19,5,317,0,
28836062,NEW - King Size Bed - Trendy District 3 persons,217218887,Vincent,,Vieux-Limoilou,46.82285,-71.22345,Entire home/apt,59,30,8,2021-10-21,0.23,5,142,3,
28840775,•Joli loft dans le Vieux-Limoilou•,133456562,Karelle,,Vieux-Limoilou,46.82394,-71.24126,Entire home/apt,104,1,16,2021-08-04,0.50,1,0,7,
28914878,♡ La vie est belle♡ 2 beds ♡ Free indoor parking ♡,61411254,Ana Maria,,Saint-Roch,46.81246,-71.23037,Entire home/apt,119,1,79,2021-11-05,2.38,2,326,24,
28927964,💙L’APPARTEMENT CENTRAL💙UNESCO Vieux-Québec +AC,55588409,Elise,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81112,-71.20699,Entire home/apt,148,31,127,2021-10-18,3.42,5,293,27,
28936757,Studio tout équipé – En plein cœur de Québec,218118476,Famille,,Saint-Jean-Baptiste,46.80865,-71.22588,Entire home/apt,95,2,141,2021-10-09,3.76,1,149,41,301879
28953133,Bien situé à Qc: beau logement entier et lumineux,174830990,Jean Francis,,Quartier 4-6,46.84616,-71.24734,Entire home/apt,80,31,29,2019-09-10,0.88,1,174,1,
28955309,Canadian private house (15 min from everything),9741702,Karmen,,Duberger-Les Saules,46.81126,-71.31784,Entire home/apt,210,4,6,2019-07-03,0.16,4,0,0,
28958557,Canadian residence - First floor,9741702,Karmen,,Duberger-Les Saules,46.81314,-71.31921,Entire home/apt,98,4,11,2020-09-06,0.29,4,5,1,
28961168,Le Vincent - centre-ville de Québec,218213442,Antonio,,Saint-Jean-Baptiste,46.81073,-71.22318,Private room,125,1,2,2019-01-28,0.06,1,0,0,
28966543,Entire/2Rooms/Free cleaning& cancellation&parking,105777160,Mosi,,Cité Universitaire,46.7855,-71.26619,Entire home/apt,89,3,4,2019-07-27,0.11,8,0,0,
28980801,Condo - 3 1/2 - Québec,96692488,Simon,,Neufchâtel-Est/Lebourgneuf,46.83736,-71.32053,Entire home/apt,70,30,0,,,18,364,0,
29005931,"Beautiful 3 BR Home, 15 mins from downtown",218603851,Degui,,Notre-Dame-des-Laurentides,46.90601,-71.34647,Entire home/apt,215,2,15,2019-09-02,0.43,1,66,0,302558
29007384,"Historic Quebec City,",30556477,Jerry,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81711,-71.20708,Entire home/apt,70,32,0,,,1,365,0,
