id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6512008,"TRANQUILLE, Westboro Beach - Chatte en résidence",16181239,Gaëtane,,Kitchissippi,45.39524,-75.75967,Private room,85,1,3,2020-02-02,0.08,2,124,0,
6512045,"Quiet, nice light, cat in residence",16181239,Gaëtane,,Kitchissippi,45.39513,-75.75963,Private room,85,1,13,2018-08-29,0.22,2,124,1,
6515758,Sunny Heritage Home in Byward Market w/ Parking,25171537,Jeffrey And Stephanie,,Rideau-Vanier,45.43391,-75.69166,Entire home/apt,163,6,169,2020-12-18,2.45,1,164,3,
6586860,Cozy Basement Suite,32721950,Hanan,,Rideau-Rockcliffe,45.42894,-75.64548,Entire home/apt,85,4,130,2021-09-16,1.69,1,345,9,
6589324,Heritage Luxury at Peloton House and Art Gallery,1878522,Ursula,,Rideau-Rockcliffe,45.44267,-75.68628,Entire home/apt,232,3,128,2020-10-02,2.45,2,142,24,
6591110,The most important thing right now is to be safe,34481136,Jane And Serge,,Rideau-Vanier,45.43174,-75.66197,Entire home/apt,99,2,181,2019-05-29,2.75,1,47,8,
6612499,1 Guest/Furn'd Bedrm in 3 Bedm Apt.,34602819,Christine,,Rideau-Vanier,45.42483,-75.67608,Private room,85,14,8,2021-09-01,0.23,12,30,1,
6645417,Modern 1 BDRM Condo,34753202,Duc,,River,45.38299,-75.73643,Entire home/apt,92,1,281,2019-08-28,4.09,1,0,0,
6853193,Spacious house close to downtown.,35911139,Chris,,Capital,45.40555,-75.67597,Entire home/apt,164,2,76,2017-10-12,1.16,1,0,0,
6853805,Unbeatable Sandy Hill Accomodations,26767280,Alison,,Rideau-Vanier,45.42564,-75.68264,Private room,63,2,18,2015-10-19,0.24,1,46,0,
6895354,Beautiful home in Ottawa's Captial,36077804,Naomi,,Alta Vista,45.38953,-75.63174,Entire home/apt,78,1,2,2015-08-04,0.03,1,0,0,
6939755,"Sunny, Quiet Apt in Central Ottawa",18594118,Danielle,,College,45.3433,-75.764,Entire home/apt,80,3,223,2020-04-11,2.94,1,0,0,
7003714,Beautiful east end home.,36716580,William,,Beacon Hill-Cyrville,45.42539,-75.60975,Private room,50,7,1,2015-09-18,0.01,3,364,0,
7025115,1 Guest/Furn'd Bedrm in 3 Bedm Apt.,34602819,Christine,,Rideau-Vanier,45.42652,-75.67628,Private room,85,14,8,2020-03-20,0.36,12,352,0,
7052561,Charming 4 bedroom home with hot tub and parking,36869574,Claudette,,Somerset,45.4108,-75.71782,Entire home/apt,175,21,9,2021-10-02,0.14,1,25,1,
7064475,Spacious room w new ensuite. Central location.,33836567,Linden,,Capital,45.39669,-75.6957,Private room,48,28,98,2019-11-13,1.51,2,171,1,
7182054,Upscale 2 bdrms & baths condo,8729464,Elise,,Kitchissippi,45.39847,-75.71125,Entire home/apt,120,30,83,2018-07-31,1.24,1,185,4,
7256615,Upscale Country Home/ Ottawa Canada,35485441,Brenda,,West Carleton-March,45.47204,-76.03691,Entire home/apt,200,21,0,,,1,208,0,
7279754,Britannia Beach 1 block - hot tub by reservation,29268749,Linda,,Bay,45.36814,-75.79935,Private room,85,2,91,2019-08-11,1.21,1,351,3,
7432408,An oasis for your travels,34585698,Denise,,Innes,45.44342,-75.53288,Private room,50,2,1,2019-03-17,0.03,1,0,0,
7526282,Modern Condo in Centretown w an office & Parking,7354245,Lisa Miall,,Somerset,45.41243,-75.69213,Entire home/apt,139,180,1,2016-10-30,0.02,24,317,0,
7658921,Ambassador B&B - cozy room,25461090,Irina,,Rideau-Vanier,45.42958,-75.67617,Private room,79,1,27,2020-03-16,0.87,4,337,3,
7691538,Ambassador B&B - Exquisite room en suite bathroom,25461090,Irina,,Rideau-Vanier,45.4295,-75.67388,Private room,99,1,13,2019-05-05,0.93,4,290,1,
7699251,Private  Apartment * FREE PARKING * WALK & ENJOY,40441562,Andres And Raquel,,Somerset,45.41271,-75.70245,Entire home/apt,69,2,451,2021-09-21,6.38,7,227,47,
7713717,Bright Spacious Room Close to Everything w/Parking,248064,Tasha,,Somerset,45.41063,-75.71169,Private room,90,1,97,2018-08-30,1.47,1,76,12,
7725408,Ottawa River waterfront cottage,21702092,Frederick,,West Carleton-March,45.50492,-76.11603,Entire home/apt,200,14,8,2018-05-20,0.13,1,49,0,
7797639,"Cozy, Relaxing & Inspiring Studio in Centretown",3052313,Renée,,Somerset,45.41615,-75.694,Entire home/apt,89,2,110,2018-10-26,1.47,1,0,0,
7820353,"Eclectic 1 BDRM, Super Downtown Ottawa",41173096,Hannah,,Somerset,45.41656,-75.69354,Entire home/apt,250,4,3,2017-07-03,0.04,1,83,0,
7840014,Charming House in West Ottawa,28096363,Andy Diane,,West Carleton-March,45.25752,-76.06401,Entire home/apt,1200,2,34,2016-09-03,0.46,1,90,0,
7901417,Room with bed and desk in ByWard Ottawa homestay!,3582571,Maree And Geoff,,Rideau-Vanier,45.4359,-75.69267,Private room,66,29,38,2019-05-08,0.59,2,171,0,
7930822,Corporate Stays | 50 Laurier | Spacious 1BR,38459934,Corporate Stays,,Rideau-Vanier,45.42207,-75.68698,Entire home/apt,112,30,5,2017-06-23,0.08,62,0,0,
7934545,Relaxing Studio in Ottawa’s Trendiest Neighborhood,25441452,Hilary,,Kitchissippi,45.40154,-75.72334,Entire home/apt,86,2,223,2021-03-19,3.21,2,32,42,
7964017,Private room & bathroom in Carp,42017962,Chuck,,West Carleton-March,45.2845,-75.99824,Private room,85,1,54,2019-10-04,0.87,2,290,3,
8000268,Elegant and Stylish Condo Apartment with Terrace,37103226,Cabrel,,Somerset,45.42086,-75.69798,Private room,65,1,31,2021-10-16,12.40,1,158,31,
8062873,Bachelor unit independent entrance,42585775,Cecilia,,Rideau-Rockcliffe,45.44511,-75.67448,Private room,85,15,18,2019-10-31,0.24,1,365,0,
8082182,Bright Spacious Loft South Ottawa!,42690265,Evan,,Gloucester-Southgate,45.3609,-75.63376,Private room,64,1,19,2016-08-31,0.30,2,0,0,
8098617,Test Listing - Not Available,11582199,Ryan,,Orleans,45.48193,-75.53381,Shared room,0,1,5,2015-10-19,0.07,2,0,0,
8270214,1 bdrm apt in trendy neighbourhood!,43447895,Marieke,,Kitchissippi,45.40765,-75.72009,Entire home/apt,65,1,70,2020-02-17,1.75,1,0,0,
8295439,Sandy Hill-3 Bedroom Immaculate Apt,34602819,Christine,,Rideau-Vanier,45.42565,-75.67594,Entire home/apt,182,14,10,2019-12-21,0.36,12,280,0,
8352778,Modern luxury home. 15 min to downtown.,44026292,Colin & Clea,,Bay,45.36964,-75.80007,Entire home/apt,414,3,20,2019-05-20,0.30,1,0,0,
8516627,5 weekdays only 1 bdrm queen bed 1-2 people A/C,22902857,Katia,,Innes,45.43105,-75.57003,Private room,55,4,2,2017-09-03,0.03,3,0,0,
8541704,*Barrhaven Blue Room - comfy private room for 2*,44968309,Karin,,Gloucester-South Nepean,45.2768,-75.70773,Private room,35,1,262,2019-12-29,4.02,1,74,0,
8553623,Escape to the Oasis...A Little Slice of Paradise,45025351,Ariel,,Somerset,45.41642,-75.70415,Entire home/apt,100,7,10,2019-02-24,0.29,1,0,0,
8624553,Small cabin in the woods,34518260,Tammy,,West Carleton-March,45.49213,-76.21017,Entire home/apt,125,2,34,2021-03-14,0.56,1,365,6,
8629757,Secluded Guest Unit in a Forest House,45308226,Chuck & Iris,,West Carleton-March,45.39822,-75.95661,Entire home/apt,60,1,221,2019-12-01,3.36,1,170,0,
8634335,Brand new house less than 2 months,45400205,Michael,,Barrhaven,45.24585,-75.72492,Private room,65,1,110,2019-10-20,1.76,2,365,0,
